loop	totalEnergy	potEnergy	kinEnergy	temperature
0	-125.621	-222.152	96.5312	13829.6
1	-123.773	-200.315	76.5414	10965.8
2	-125.218	-193.954	68.736	9847.5
3	-124.211	-189.253	65.0417	9318.24
4	-124.776	-195.229	70.4534	10093.6
5	-125.231	-204.444	79.2127	11348.5
6	-124.64	-205.087	80.4471	11525.3
7	-124.476	-201.341	76.865	11012.1
8	-124.072	-196.113	72.0415	10321.1
9	-124.308	-192.997	68.6896	9840.86
10	-124.173	-189.397	65.2239	9344.35
11	-124.125	-185.82	61.6946	8838.72
12	-124.181	-182.61	58.4292	8370.9
13	-124.133	-178.785	54.6517	7829.71
14	-124.095	-174.676	50.5805	7246.45
15	-124.081	-170.737	46.6556	6684.15
16	-124.045	-167.223	43.1774	6185.84
17	-124.101	-164.56	40.4596	5796.47
18	-124.113	-162.257	38.1442	5464.75
19	-123.976	-160.716	36.7394	5263.5
20	-124.141	-161.42	37.279	5340.8
21	-124.319	-162.176	37.8574	5423.67
22	-124.275	-160.577	36.3014	5200.75
23	-123.893	-157.942	34.0489	4878.04
24	-124.196	-159.562	35.3665	5066.8
25	-124.509	-162.048	37.5385	5377.98
26	-124.309	-160.405	36.0956	5171.26
27	-123.944	-157.759	33.8152	4844.56
28	-124.17	-159.733	35.5628	5094.93
29	-124.342	-163.516	39.1733	5612.19
30	-124.245	-165.632	41.387	5929.34
31	-124.268	-166.936	42.6676	6112.8
32	-124.376	-166.977	42.6009	6103.25
33	-124.285	-164.742	40.4574	5796.15
34	-124.037	-162.281	38.2434	5478.96
35	-124.155	-163.349	39.1947	5615.26
36	-124.476	-166.569	42.0931	6030.5
37	-124.264	-167.87	43.6062	6247.27
38	-124.197	-169.262	45.0647	6456.22
39	-124.354	-171.524	47.1698	6757.81
40	-124.373	-172.338	47.9652	6871.77
41	-124.232	-171.412	47.1801	6759.29
42	-124.175	-170.944	46.7688	6700.36
43	-124.347	-171.622	47.2749	6772.87
44	-124.431	-171.266	46.8355	6709.92
45	-124.031	-169.963	45.932	6580.48
46	-124.694	-170.527	45.8335	6566.37
47	-123.999	-166.823	42.8239	6135.19
48	-124.103	-167.897	43.7938	6274.15
49	-124.781	-172.909	48.1284	6895.14
50	-124.546	-171.607	47.0615	6742.29
51	-124.127	-169.385	45.2574	6483.83
52	-124.378	-170.592	46.2136	6620.82
53	-124.097	-169.946	45.8489	6568.58
54	-124.495	-170.642	46.1472	6611.3
55	-124.038	-168.837	44.7993	6418.2
56	-124.463	-169.489	45.0262	6450.7
57	-124.431	-169.182	44.7516	6411.37
58	-123.947	-167.417	43.47	6227.76
59	-124.46	-169.523	45.0632	6456.01
60	-124.354	-169.848	45.4935	6517.66
61	-124.255	-168.357	44.1027	6318.4
62	-124.184	-166.666	42.4823	6086.25
63	-124.149	-166.258	42.1089	6032.77
64	-124.263	-167.646	43.3826	6215.23
65	-124.377	-168.684	44.3073	6347.72
66	-124.403	-167.749	43.3461	6210.01
67	-124.116	-165.379	41.2628	5911.54
68	-124.142	-165.159	41.0173	5876.38
69	-124.238	-167.338	43.0996	6174.69
70	-124.527	-169.632	45.1051	6462.02
71	-124.455	-167.916	43.4608	6226.44
72	-123.834	-164.655	40.821	5848.24
73	-124.455	-166.091	41.6355	5964.94
74	-124.194	-165.871	41.6773	5970.93
75	-123.931	-166.363	42.4315	6078.98
76	-124.402	-170.541	46.1388	6610.1
77	-124.543	-172.634	48.091	6889.78
78	-124.337	-170.183	45.8466	6568.24
79	-124.026	-166.862	42.8356	6136.87
80	-124.151	-167.195	43.0435	6166.65
81	-124.324	-169.627	45.3037	6490.46
82	-124.273	-171.301	47.0276	6737.43
83	-124.385	-171.675	47.2896	6774.98
84	-124.256	-169.426	45.1693	6471.21
85	-124.133	-166.23	42.0972	6031.08
86	-124.067	-164.32	40.2521	5766.74
87	-124.049	-165.291	41.2426	5908.65
88	-124.272	-168.938	44.6658	6399.07
89	-124.194	-172.348	48.1535	6898.74
90	-124.427	-175.332	50.9057	7293.03
91	-124.458	-174.938	50.4806	7232.14
92	-124.076	-172.642	48.5657	6957.8
93	-124.317	-172.735	48.4184	6936.69
94	-124.156	-172.247	48.0904	6889.7
95	-124.18	-172.905	48.7252	6980.65
96	-124.449	-174.482	50.0327	7167.96
97	-124.344	-173.535	49.1916	7047.47
98	-123.972	-172.273	48.3009	6919.86
99	-124.456	-174.478	50.0222	7166.46
100	-124.143	-174.549	50.4059	7221.43
101	-124.032	-175.009	50.977	7303.25
102	-124.39	-176.871	52.4808	7518.69
103	-124.339	-175.765	51.4266	7367.67
104	-124.089	-172.468	48.3784	6930.96
105	-124.159	-170.42	46.2611	6627.63
106	-124.198	-169.195	44.9973	6446.57
107	-123.923	-169.144	45.221	6478.62
108	-124.42	-172.478	48.0582	6885.08
109	-124.345	-173.815	49.4705	7087.42
110	-124.215	-173.49	49.2746	7059.36
111	-124.264	-172.818	48.5537	6956.08
112	-124.052	-171.95	47.8984	6862.19
113	-124.36	-172.507	48.147	6897.8
114	-124.132	-171.128	46.9965	6732.99
115	-124.1	-170.184	46.0839	6602.25
116	-124.158	-170.604	46.446	6654.12
117	-124.117	-171.666	47.5491	6812.15
118	-124.113	-173.485	49.372	7073.32
119	-124.275	-175.455	51.1797	7332.29
120	-124.324	-175.35	51.0257	7310.24
121	-124.452	-171.986	47.5342	6810.02
122	-123.676	-166.831	43.1544	6182.54
123	-124.304	-167.162	42.858	6140.08
124	-124.343	-166.845	42.5023	6089.12
125	-124.047	-165.348	41.3016	5917.1
126	-124.417	-164.788	40.3712	5783.81
127	-123.691	-162.874	39.1832	5613.61
128	-124.357	-166.154	41.7965	5988
129	-124.495	-167.955	43.4598	6226.29
130	-124.251	-164.78	40.5292	5806.44
131	-123.883	-160.784	36.9009	5286.63
132	-124.228	-160.569	36.3406	5206.36
