loop	totalEnergy	potEnergy	kinEnergy	temperature
0	-11816	-12345	529.065	1212.75
1	-9586.75	-12141.2	2554.47	5855.49
2	-3934.15	-10731.2	6797.08	15580.6
3	665216	21266.7	643950	1.47609e+06
4	7.26581e+31	1.65668e+16	7.26581e+31	1.66551e+32
5	2.90633e+32	4.91328e+10	2.90633e+32	6.66203e+32
6	2.90633e+32	6.35385e+08	2.90633e+32	6.66203e+32
7	2.90633e+32	5091.81	2.90633e+32	6.66203e+32
8	2.90633e+32	7.69765e+12	2.90633e+32	6.66203e+32
9	2.90633e+32	-6.56994	2.90633e+32	6.66203e+32
10	2.90633e+32	-0.840756	2.90633e+32	6.66203e+32
11	2.90633e+32	5.01874e+11	2.90633e+32	6.66203e+32
12	2.90633e+32	-0.447483	2.90633e+32	6.66203e+32
13	2.90633e+32	-4.2986	2.90633e+32	6.66203e+32
14	2.90633e+32	390.41	2.90633e+32	6.66203e+32
15	2.90633e+32	-0.256699	2.90633e+32	6.66203e+32
16	2.90633e+32	-2.98021	2.90633e+32	6.66203e+32
17	2.90633e+32	2.32857e+06	2.90633e+32	6.66203e+32
18	2.90633e+32	-6.38269	2.90633e+32	6.66203e+32
19	2.90633e+32	-18.4273	2.90633e+32	6.66203e+32
etime:	22	s	0	0
mass:	1.00794	0	0	0
loops:	20	0	0	0
dt:	0.1	0	0	0
eps:	1	0	0	0
sig:	1	0	0	0
