loop	totalEnergy	potEnergy	kinEnergy	temperature
0	-17700.7	-18374.9	674.189	1061.62
1	-14841.5	-18091.3	3249.8	5117.35
2	-7536.7	-16222.3	8685.62	13677
3	888431	26055.6	862375	1.35795e+06
4	1.03716e+39	1.00926e+19	1.03716e+39	1.63318e+39
5	4.14862e+39	6.19983e+11	4.14862e+39	6.5327e+39
6	4.14862e+39	4.1667e+13	4.14862e+39	6.5327e+39
7	4.14862e+39	1.4199e+09	4.14862e+39	6.5327e+39
8	4.14862e+39	4461.59	4.14862e+39	6.5327e+39
9	4.14862e+39	18586.8	4.14862e+39	6.5327e+39
10	4.14862e+39	8.08095e+09	4.14862e+39	6.5327e+39
11	4.14862e+39	-63.7663	4.14862e+39	6.5327e+39
12	4.14862e+39	-16.6164	4.14862e+39	6.5327e+39
13	4.14862e+39	-6.78804	4.14862e+39	6.5327e+39
14	4.14862e+39	-4.47049	4.14862e+39	6.5327e+39
15	4.14862e+39	5548.42	4.14862e+39	6.5327e+39
16	4.14862e+39	-2.34778	4.14862e+39	6.5327e+39
17	4.14862e+39	-1.9677	4.14862e+39	6.5327e+39
18	4.14862e+39	-2.12505	4.14862e+39	6.5327e+39
19	4.14862e+39	-5.00151	4.14862e+39	6.5327e+39
etime:	43	s	0	0
mass:	1.00794	0	0	0
loops:	20	0	0	0
dt:	0.1	0	0	0
eps:	1	0	0	0
sig:	1	0	0	0
