loop	totalEnergy	potEnergy	kinEnergy	temperature
0	-29748.5	-30673.2	924.756	894.279
1	-25797.5	-30246.7	4449.2	4302.57
2	-15617	-27568.9	11951.9	11558
3	1.28309e+06	32824.5	1.25026e+06	1.20906e+06
4	3.75536e+39	1.8266e+19	3.75536e+39	3.63159e+39
5	1.50214e+40	6.15742e+10	1.50214e+40	1.45264e+40
6	1.50214e+40	6.39175e+09	1.50214e+40	1.45264e+40
7	1.50214e+40	1.37233e+11	1.50214e+40	1.45264e+40
8	1.50214e+40	3.90624e+11	1.50214e+40	1.45264e+40
9	1.50214e+40	1.42705e+15	1.50214e+40	1.45264e+40
10	1.50214e+40	4.59605e+12	1.50214e+40	1.45264e+40
11	1.50214e+40	934.442	1.50214e+40	1.45264e+40
12	1.50214e+40	-10.1915	1.50214e+40	1.45264e+40
13	1.50214e+40	8.6053e+13	1.50214e+40	1.45264e+40
14	1.50214e+40	106.588	1.50214e+40	1.45264e+40
15	1.50214e+40	1.56046e+12	1.50214e+40	1.45264e+40
16	1.9154e+43	5.18764e+20	1.9154e+43	1.85228e+43
17	7.6571e+43	7.21348e+06	7.6571e+43	7.40475e+43
18	7.6571e+43	-46.022	7.6571e+43	7.40475e+43
19	7.6571e+43	-37.6716	7.6571e+43	7.40475e+43
etime:	104	s	0	0
mass:	1.00794	0	0	0
loops:	20	0	0	0
dt:	0.1	0	0	0
eps:	1	0	0	0
sig:	1	0	0	0
