loop	totalEnergy	potEnergy	kinEnergy	temperature
0	-21260.8	-22014.1	753.327	999.314
1	-18057.3	-21686	3628.74	4813.65
2	-9846.87	-19563.5	9716.6	12889.4
3	1.01205e+06	28394	983654	1.30485e+06
4	2.49239e+39	1.51186e+19	2.49239e+39	3.30624e+39
5	1.04302e+54	8.4604e+25	1.04302e+54	1.3836e+54
6	4.17207e+54	1.04339e+17	4.17207e+54	5.53439e+54
7	4.17207e+54	34306	4.17207e+54	5.53439e+54
8	4.17207e+54	3.77008e+09	4.17207e+54	5.53439e+54
9	4.17207e+54	5.55354e+15	4.17207e+54	5.53439e+54
10	4.17207e+54	-22.9133	4.17207e+54	5.53439e+54
11	4.17207e+54	1.5135e+21	4.17207e+54	5.53439e+54
12	4.17207e+54	1484.92	4.17207e+54	5.53439e+54
13	4.17207e+54	12039	4.17207e+54	5.53439e+54
14	4.17207e+54	-28.5496	4.17207e+54	5.53439e+54
15	4.17207e+54	139.532	4.17207e+54	5.53439e+54
16	4.17207e+54	343.263	4.17207e+54	5.53439e+54
17	4.17207e+54	1.13397	4.17207e+54	5.53439e+54
18	4.17207e+54	1.01653e+09	4.17207e+54	5.53439e+54
19	4.17207e+54	-32.4947	4.17207e+54	5.53439e+54
etime:	59	s	0	0
mass:	1.00794	0	0	0
loops:	20	0	0	0
dt:	0.1	0	0	0
eps:	1	0	0	0
sig:	1	0	0	0
