loop	totalEnergy	potEnergy	kinEnergy	temperature
0	-9438.53	-9901.61	463.08	1305.59
1	-7494.94	-9733.04	2238.1	6310.02
2	-2588.95	-8528.47	5939.52	16745.7
3	565761	18871.3	546890	1.54188e+06
4	6.01364e+31	1.39258e+16	6.01364e+31	1.69547e+32
5	2.40546e+32	1.29733e+10	2.40546e+32	6.78187e+32
6	2.40546e+32	102.897	2.40546e+32	6.78187e+32
7	2.40546e+32	6.32808e+07	2.40546e+32	6.78187e+32
8	2.40546e+32	-4.38658	2.40546e+32	6.78187e+32
9	2.40546e+32	-5.99613	2.40546e+32	6.78187e+32
10	2.40546e+32	-9.19184	2.40546e+32	6.78187e+32
11	2.40546e+32	-14.9554	2.40546e+32	6.78187e+32
12	2.40546e+32	-25.4236	2.40546e+32	6.78187e+32
13	2.40546e+32	-45.1711	2.40546e+32	6.78187e+32
14	2.40546e+32	-84.9965	2.40546e+32	6.78187e+32
15	2.40546e+32	-169.508	2.40546e+32	6.78187e+32
16	2.40546e+32	703.735	2.40546e+32	6.78187e+32
17	2.40546e+32	-125.898	2.40546e+32	6.78187e+32
18	2.40546e+32	-144.77	2.40546e+32	6.78187e+32
19	2.40546e+32	81.975	2.40546e+32	6.78187e+32
etime:	15	s	0	0
mass:	1.00794	0	0	0
loops:	20	0	0	0
dt:	0.1	0	0	0
eps:	1	0	0	0
sig:	1	0	0	0
