loop	totalEnergy	potEnergy	kinEnergy	temperature
0	-29448.6	-30375.6	926.986	896.436
1	-25492.4	-29960.1	4467.75	4320.5
2	-15314.4	-27304.3	11989.9	11594.7
3	1.32911e+06	33997.1	1.29511e+06	1.25243e+06
4	1.22851e+33	2.80788e+16	1.22851e+33	1.18802e+33
5	4.91404e+33	1.14506e+08	4.91404e+33	4.75209e+33
6	4.91404e+33	1.00219e+08	4.91404e+33	4.75209e+33
7	4.91404e+33	0	4.91404e+33	4.75209e+33
8	4.91404e+33	0	4.91404e+33	4.75209e+33
9	4.91404e+33	0	4.91404e+33	4.75209e+33
10	4.91404e+33	0	4.91404e+33	4.75209e+33
11	4.91404e+33	0	4.91404e+33	4.75209e+33
12	4.91404e+33	0	4.91404e+33	4.75209e+33
13	4.91404e+33	0	4.91404e+33	4.75209e+33
14	4.91404e+33	0	4.91404e+33	4.75209e+33
15	4.91404e+33	0	4.91404e+33	4.75209e+33
16	4.91404e+33	0	4.91404e+33	4.75209e+33
17	4.91404e+33	0	4.91404e+33	4.75209e+33
18	4.91404e+33	0	4.91404e+33	4.75209e+33
19	4.91404e+33	0	4.91404e+33	4.75209e+33
etime:	16	s	0	0
mass:	1.00794	0	0	0
loops:	20	0	0	0
dt:	0.1	0	0	0
eps:	1	0	0	0
sig:	1	0	0	0
cutoff:	5	0	0	0
