loop	totalEnergy	potEnergy	kinEnergy	temperature
0	-9362.01	-9826.04	464.035	1308.29
1	-7416.02	-9662.11	2246.09	6332.56
2	-2512.08	-8468.1	5956.02	16792.2
3	586095	19351.1	566744	1.59786e+06
4	3.22843e+33	5.0704e+16	3.22843e+33	9.10214e+33
5	1.29137e+34	-19.3496	1.29137e+34	3.64086e+34
6	1.29137e+34	-9.00679	1.29137e+34	3.64086e+34
7	1.29137e+34	1.59153e+10	1.29137e+34	3.64086e+34
8	1.29137e+34	0	1.29137e+34	3.64086e+34
9	1.29137e+34	0	1.29137e+34	3.64086e+34
10	1.29137e+34	0	1.29137e+34	3.64086e+34
11	1.29137e+34	0	1.29137e+34	3.64086e+34
12	1.29137e+34	0	1.29137e+34	3.64086e+34
13	1.29137e+34	0	1.29137e+34	3.64086e+34
14	1.29137e+34	0	1.29137e+34	3.64086e+34
15	1.29137e+34	0	1.29137e+34	3.64086e+34
16	1.29137e+34	0	1.29137e+34	3.64086e+34
17	1.29137e+34	0	1.29137e+34	3.64086e+34
18	1.29137e+34	0	1.29137e+34	3.64086e+34
19	1.29137e+34	0	1.29137e+34	3.64086e+34
etime:	5	s	0	0
mass:	1.00794	0	0	0
loops:	20	0	0	0
dt:	0.1	0	0	0
eps:	1	0	0	0
sig:	1	0	0	0
cutoff:	5	0	0	0
