loop	totalEnergy	potEnergy	kinEnergy	temperature
0	-25019.6	-25858.5	838.83	946.126
1	-21447.4	-25492.5	4045.03	4562.44
2	-12281.3	-23120.5	10839.2	12225.6
3	1.18477e+06	31692.7	1.15307e+06	1.30056e+06
4	1.22851e+33	2.80231e+16	1.22851e+33	1.38565e+33
5	4.91403e+33	5.75749e+07	4.91403e+33	5.54259e+33
6	4.91403e+33	1389.93	4.91403e+33	5.54259e+33
7	4.91403e+33	0	4.91403e+33	5.54259e+33
8	4.91403e+33	0	4.91403e+33	5.54259e+33
9	4.91403e+33	0	4.91403e+33	5.54259e+33
10	4.91403e+33	0	4.91403e+33	5.54259e+33
11	4.91403e+33	0	4.91403e+33	5.54259e+33
12	4.91403e+33	0	4.91403e+33	5.54259e+33
13	4.91403e+33	0	4.91403e+33	5.54259e+33
14	4.91403e+33	0	4.91403e+33	5.54259e+33
15	4.91403e+33	0	4.91403e+33	5.54259e+33
16	4.91403e+33	0	4.91403e+33	5.54259e+33
17	4.91403e+33	0	4.91403e+33	5.54259e+33
18	4.91403e+33	0	4.91403e+33	5.54259e+33
19	4.91403e+33	0	4.91403e+33	5.54259e+33
etime:	14	s	0	0
mass:	1.00794	0	0	0
loops:	20	0	0	0
dt:	0.1	0	0	0
eps:	1	0	0	0
sig:	1	0	0	0
cutoff:	5	0	0	0
