loop	totalEnergy	potEnergy	kinEnergy	temperature
0	-37287.5	-37287.6	0.031123	0.0236544
8	-37287.5	-37296.4	8.83228	6.7128
16	-37286.4	-37318.1	31.6946	24.0888
24	-37283.9	-37348.8	64.8153	49.2615
32	-37282.2	-37385.8	103.598	78.7375
40	-37282	-37426	143.953	109.409
48	-37281.5	-37464.4	182.885	138.998
56	-37280.2	-37498.6	218.459	166.035
64	-37278	-37527.5	249.492	189.622
72	-37275.3	-37550.7	275.41	209.32
80	-37273.6	-37569.8	296.164	225.094
88	-37269.5	-37581.8	312.339	237.387
96	-37265.3	-37590.2	324.917	246.947
104	-37261.3	-37595.9	334.604	254.309
112	-37257.6	-37599.6	341.995	259.926
120	-37253.6	-37601	347.398	264.033
128	-37250.8	-37601.7	350.943	266.727
136	-37248.3	-37600.9	352.574	267.967
144	-37245.3	-37597.7	352.385	267.823
152	-37241.6	-37592.3	350.765	266.592
160	-37239.9	-37588.2	348.344	264.752
168	-37238.5	-37584.4	345.88	262.88
176	-37235.6	-37579.5	343.959	261.419
184	-37234.1	-37577	342.866	260.589
192	-37232	-37574.8	342.709	260.469
200	-37231.3	-37574.9	343.509	261.077
208	-37229.3	-37574.7	345.333	262.464
216	-37228.5	-37576.9	348.452	264.834
224	-37227.3	-37580.5	353.235	268.469
232	-37226.7	-37586.7	359.932	273.559
240	-37225.5	-37594	368.534	280.097
248	-37225.5	-37604.2	378.711	287.832
256	-37224.4	-37614.3	389.894	296.331
264	-37223.8	-37625.2	401.453	305.117
272	-37222.7	-37635.5	412.716	313.677
280	-37221.5	-37644.5	423.071	321.547
288	-37220.8	-37652.7	431.925	328.276
296	-37220.1	-37658.9	438.837	333.529
304	-37220	-37663.4	443.466	337.047
312	-37220.2	-37665.7	445.554	338.634
320	-37219.9	-37664.7	444.804	338.065
328	-37217.3	-37658.2	440.831	335.045
336	-37216.1	-37649.5	433.375	329.378
344	-37215.5	-37637.9	422.348	320.998
352	-37214.5	-37622.5	407.962	310.063
360	-37213.5	-37604.3	390.809	297.026
368	-37213.9	-37585.7	371.827	282.6
376	-37213.9	-37566	352.02	267.546
384	-37213.4	-37545.5	332.117	252.419
392	-37213.6	-37525.9	312.293	237.352
400	-37213.8	-37506.1	292.357	222.2
408	-37214.1	-37486.2	272.107	206.809
416	-37214	-37465.7	251.682	191.286
424	-37213.4	-37445	231.645	176.057
432	-37213.5	-37426.4	212.847	161.77
440	-37212.9	-37408.9	196.027	148.987
448	-37213.5	-37395	181.495	137.941
456	-37213.8	-37382.8	168.992	128.439
464	-37214.3	-37372.2	157.956	120.051
472	-37214.4	-37362.4	147.988	112.475
480	-37214.1	-37353.2	139.107	105.726
488	-37214.1	-37345.7	131.638	100.049
496	-37214	-37339.8	125.805	95.6153
504	-37214	-37335.5	121.478	92.3269
512	-37214	-37332.2	118.266	89.886
