loop	totalEnergy	potEnergy	kinEnergy	temperature
0	-7486.07	-7486.08	0.00883517	0.0332289
8	-7486.07	-7488.57	2.49419	9.3806
16	-7485.34	-7494.17	8.82307	33.1834
24	-7484.06	-7501.7	17.6334	66.3189
32	-7483.62	-7510.94	27.3277	102.779
40	-7483.49	-7520.08	36.5921	137.622
48	-7483.37	-7527.99	44.6185	167.81
56	-7482.95	-7533.97	51.0125	191.857
64	-7482.32	-7537.89	55.5694	208.996
72	-7481.79	-7539.99	58.1971	218.878
80	-7481.56	-7540.6	59.0311	222.015
88	-7480.48	-7539.04	58.5665	220.268
96	-7478.54	-7536.06	57.52	216.332
104	-7477.62	-7534.15	56.5291	212.605
112	-7477.43	-7533.49	56.0666	210.866
120	-7477.13	-7533.5	56.3751	212.026
128	-7476.44	-7533.87	57.4387	216.026
136	-7476.02	-7535.03	59.0099	221.935
144	-7475.68	-7536.48	60.7941	228.646
152	-7475.62	-7538.19	62.5712	235.329
160	-7475.48	-7539.71	64.2272	241.557
168	-7475.35	-7540.99	65.6403	246.872
176	-7474.98	-7541.53	66.5574	250.321
184	-7474.51	-7541.11	66.6003	250.483
192	-7473.74	-7539.17	65.4279	246.073
200	-7473.83	-7536.75	62.9232	236.653
208	-7473.95	-7533.13	59.185	222.594
216	-7473.6	-7528.16	54.5615	205.205
224	-7473.03	-7522.55	49.5159	186.229
232	-7473.17	-7517.66	44.4881	167.319
240	-7473.38	-7513.13	39.7491	149.496
248	-7473.48	-7508.86	35.3832	133.076
256	-7473.26	-7504.61	31.3505	117.909
264	-7473.03	-7500.69	27.6607	104.031
272	-7472.96	-7497.36	24.401	91.7717
280	-7473.14	-7494.82	21.6797	81.537
288	-7473.14	-7492.69	19.5482	73.5203
296	-7473.22	-7491.25	18.0319	67.8179
304	-7473.22	-7490.39	17.1658	64.5605
312	-7473.08	-7490.03	16.9432	63.7231
320	-7473.23	-7490.48	17.2524	64.8862
328	-7473.08	-7490.99	17.9059	67.3438
336	-7472.77	-7491.49	18.7192	70.4026
344	-7472.23	-7491.83	19.6023	73.724
352	-7471.94	-7492.53	20.589	77.4351
360	-7472.04	-7493.88	21.8375	82.1306
368	-7472.13	-7495.69	23.5633	88.6211
376	-7472.31	-7498.24	25.9234	97.4975
384	-7472.05	-7500.92	28.8691	108.576
392	-7471.94	-7504.02	32.0869	120.678
400	-7471.93	-7506.99	35.0621	131.868
408	-7471.71	-7509.05	37.342	140.443
416	-7471.94	-7510.68	38.736	145.685
424	-7471.9	-7511.29	39.3821	148.116
432	-7472.05	-7511.78	39.7248	149.404
440	-7472.42	-7512.77	40.3481	151.748
448	-7472.13	-7513.75	41.6223	156.541
456	-7472.07	-7515.6	43.5344	163.732
464	-7472.41	-7518.29	45.8873	172.582
472	-7472.86	-7521.32	48.4605	182.259
480	-7472.99	-7523.99	50.9933	191.785
488	-7473.42	-7526.62	53.1991	200.081
496	-7473.76	-7528.66	54.9061	206.501
504	-7474.44	-7530.51	56.0702	210.879
512	-7474.52	-7531.27	56.7474	213.426
520	-7475.6	-7532.65	57.0555	214.585
528	-7475.82	-7533.02	57.1947	215.108
536	-7476.24	-7533.56	57.3134	215.555
544	-7476.44	-7533.73	57.286	215.452
552	-7476.71	-7533.44	56.7293	213.358
560	-7476.7	-7532.04	55.333	208.107
568	-7476.66	-7529.84	53.1778	200.001
576	-7477.02	-7527.7	50.6818	190.613
584	-7477.6	-7525.9	48.3068	181.681
592	-7477.8	-7524.18	46.3771	174.424
600	-7478.2	-7523.25	45.0495	169.43
608	-7478.55	-7522.88	44.3285	166.719
616	-7478.9	-7522.88	43.977	165.397
624	-7479.83	-7523.38	43.5442	163.769
632	-7480.17	-7522.74	42.5788	160.138
640	-7480.7	-7521.55	40.8435	153.612
648	-7481.3	-7519.85	38.5473	144.976
656	-7481.19	-7517.84	36.6492	137.837
664	-7481.44	-7517.84	36.3996	136.898
672	-7481.71	-7519.83	38.1265	143.393
680	-7482.47	-7523.29	40.8197	153.522
688	-7482.48	-7525.48	43.0063	161.746
