loop	totalEnergy	potEnergy	kinEnergy	temperature
0	-23868.5	-23868.5	0.0221586	0.0262723
8	-23868.5	-23874.8	6.28163	7.44779
16	-23867.5	-23890	22.4765	26.6492
24	-23865.5	-23911.3	45.7537	54.2478
32	-23864.1	-23936.8	72.6857	86.1795
40	-23863.9	-23964.2	100.267	118.881
48	-23863.6	-23989.9	126.356	149.814
56	-23862.4	-24012	149.619	177.396
64	-23860.9	-24030.1	169.254	200.675
72	-23858.5	-24043.4	184.863	219.183
80	-23857.7	-24054.2	196.453	232.924
88	-23854.8	-24059.3	204.541	242.513
96	-23851.5	-24061.4	209.963	248.942
104	-23848.8	-24062.2	213.346	252.953
112	-23846.8	-24062	215.207	255.16
120	-23844.4	-24060.3	215.858	255.932
128	-23842.6	-24058.1	215.478	255.481
136	-23840.7	-24054.9	214.16	253.918
144	-23838.9	-24051	212.152	251.537
152	-23836.8	-24046.8	209.963	248.942
160	-23835.9	-24044.2	208.306	246.977
168	-23835.4	-24043.3	207.859	246.447
176	-23833.6	-24042.6	208.996	247.795
184	-23832.9	-24044.6	211.71	251.013
192	-23832.3	-24048	215.75	255.803
200	-23831.5	-24052.3	220.79	261.778
208	-23830.4	-24056.9	226.526	268.58
216	-23830	-24062.8	232.793	276.011
224	-23829.4	-24068.9	239.53	283.997
232	-23828.6	-24075.2	246.601	292.382
240	-23828.2	-24081.8	253.599	300.679
248	-23827.7	-24087.6	259.9	308.15
256	-23826.3	-24091.1	264.801	313.961
264	-23826.4	-24094.1	267.726	317.429
272	-23825.4	-24093.7	268.243	318.042
280	-23825.2	-24091.3	266.144	315.552
288	-23824.9	-24086.4	261.428	309.962
296	-23824.4	-24078.6	254.232	301.429
304	-23824	-24068.8	244.823	290.273
312	-23824.7	-24058.4	233.662	277.04
320	-23824.6	-24045.8	221.191	262.254
328	-23824.1	-24031.8	207.699	246.258
336	-23824	-24017.4	193.428	229.337
344	-23824.1	-24002.7	178.648	211.813
352	-23823.5	-23987.2	163.691	194.08
360	-23823.1	-23972	148.891	176.533
368	-23822.7	-23957.3	134.641	159.637
376	-23822.5	-23943.9	121.397	143.934
384	-23822.4	-23932	109.58	129.923
392	-23821.9	-23921.3	99.4273	117.886
400	-23822	-23912.9	90.9031	107.779
408	-23822.2	-23906	83.7413	99.2877
416	-23822.6	-23900.4	77.7641	92.2007
424	-23822.5	-23895.5	73.0577	86.6206
432	-23822.7	-23892.6	69.902	82.879
440	-23822.5	-23891	68.4948	81.2107
448	-23822.5	-23891.1	68.6033	81.3393
456	-23822.2	-23891.7	69.5276	82.4351
464	-23822.1	-23892.5	70.4474	83.5257
472	-23821.5	-23892.4	70.8583	84.0129
480	-23821.3	-23892.2	70.9322	84.1006
488	-23820.2	-23891.5	71.3269	84.5685
496	-23820.1	-23892.7	72.6077	86.0871
504	-23819.7	-23894.3	74.6128	88.4644
512	-23819.2	-23895.6	76.3601	90.5361
520	-23818.6	-23895.4	76.7873	91.0426
528	-23818	-23894.1	76.0743	90.1973
536	-23817.9	-23894.6	76.7141	90.9558
544	-23817.5	-23899	81.5172	96.6507
552	-23817.2	-23906.9	89.6894	106.34
560	-23817	-23915.2	98.1751	116.401
568	-23815.6	-23920.9	105.312	124.863
576	-23815.5	-23926.5	111.087	131.71
584	-23815.8	-23931.8	115.959	137.486
592	-23816.1	-23936.3	120.197	142.511
600	-23816	-23939.9	123.838	146.829
608	-23816.3	-23943.1	126.836	150.383
616	-23816.2	-23945.6	129.405	153.428
624	-23816	-23948.1	132.084	156.604
632	-23815.5	-23950.4	134.877	159.917
640	-23815.5	-23951.8	136.307	161.611
648	-23815.6	-23953.6	138.084	163.718
656	-23816.3	-23964.4	148.145	175.648
664	-23816.6	-23980.5	163.914	194.344
672	-23817.2	-23992.3	175.113	207.622
680	-23817.5	-23995.6	178.094	211.157
688	-23818.1	-23994.1	175.916	208.575
696	-23819.2	-23996.6	177.328	210.248
704	-23820	-24001.9	181.92	215.692
712	-23821	-24008	187.019	221.739
720	-23822	-24015.3	193.336	229.228
728	-23822.6	-24023.1	200.432	237.642
736	-23823.3	-24031.9	208.57	247.29
744	-23824.4	-24041.3	216.875	257.137
752	-23825.4	-24047.5	222.108	263.341
760	-23826	-24049.1	223.065	264.476
768	-23827.2	-24049.6	222.369	263.652
776	-23828.3	-24051.8	223.512	265.007
784	-23828.5	-24055.2	226.653	268.73
792	-23828.5	-24056.8	228.315	270.701
800	-23829.6	-24055.7	226.056	268.022
808	-23830.5	-24052.1	221.564	262.696
816	-23830.4	-24048.5	218.026	258.502
824	-23832.1	-24048.9	216.782	257.027
832	-23833.6	-24050.3	216.616	256.83
840	-23834.6	-24049.1	214.471	254.287
848	-23835.7	-24043.9	208.286	246.954
856	-23836.5	-24036.7	200.178	237.341
864	-23837.8	-24031.8	193.995	230.01
872	-23838.9	-24028.8	189.837	225.079
880	-23839.6	-24026.7	187.132	221.873
888	-23839.9	-24026.2	186.239	220.814
896	-23841	-24026.4	185.438	219.864
904	-23842	-24023.7	181.614	215.33
912	-23843.2	-24016.7	173.509	205.72
920	-23843.9	-24009.7	165.781	196.558
928	-23844.4	-24010.5	166.072	196.903
936	-23845.2	-24018.3	173.129	205.27
944	-23845.4	-24021.4	175.988	208.66
952	-23847	-24015.1	168.158	199.376
960	-23849.1	-24007.5	158.484	187.906
968	-23849.8	-24008	158.184	187.55
976	-23850.4	-24011.8	161.332	191.282
984	-23850.8	-24007.8	157.053	186.21
992	-23850.4	-23998.7	148.234	175.753
1000	-23849.4	-23995.8	146.402	173.581
1008	-23849.9	-24001.6	151.755	179.928
1016	-23851.2	-24006.3	155.094	183.886
1024	-23851.5	-24002.9	151.464	179.583
1032	-23851.6	-24000.8	149.224	176.927
1040	-23851.6	-24005	153.319	181.782
1048	-23850.9	-24007.5	156.636	185.714
1056	-23849.9	-24004.4	154.52	183.206
1064	-23849.6	-24001.3	151.741	179.911
1072	-23849.5	-24004.5	154.91	183.668
1080	-23849.6	-24008.9	159.267	188.834
1088	-23847.9	-24008.4	160.457	190.245
1096	-23847.2	-24006.4	159.227	188.787
1104	-23846.4	-24007.7	161.277	191.218
1112	-23845.2	-24013.6	168.441	199.712
1120	-23845	-24017.9	172.852	204.941
1128	-23844.6	-24017	172.407	204.414
1136	-23843.5	-24014.2	170.756	202.457
1144	-23842.7	-24016.5	173.811	206.079
1152	-23843.1	-24025.7	182.658	216.567
1160	-23842.6	-24031.9	189.344	224.495
1168	-23841.6	-24029.9	188.341	223.306
1176	-23841.8	-24023.3	181.478	215.169
1184	-23841.2	-24017.8	176.508	209.276
1192	-23840.5	-24022.3	181.752	215.494
1200	-23840.3	-24032.5	192.179	227.856
1208	-23839.4	-24035.8	196.437	232.905
1216	-23839	-24029.9	190.876	226.312
1224	-23837.7	-24018.6	180.989	214.589
1232	-23836.8	-24015.2	178.35	211.461
1240	-23835.9	-24022.5	186.61	221.254
1248	-23835	-24034.4	199.322	236.325
1256	-23834.9	-24044.3	209.443	248.325
1264	-23833.9	-24046.4	212.501	251.951
1272	-23833.1	-24043	209.864	248.825
1280	-23832.3	-24038.9	206.604	244.959
1288	-23831.6	-24034.6	202.953	240.63
1296	-23830.1	-24028.3	198.182	234.974
1304	-23829.9	-24023.7	193.807	229.787
1312	-23828.8	-24019.1	190.329	225.662
1320	-23828.5	-24017.4	188.94	224.016
1328	-23827.5	-24018.4	190.908	226.349
1336	-23826	-24018.2	192.184	227.862
1344	-23824.4	-24013.5	189.058	224.156
1352	-23824.6	-24007.1	182.468	216.342
1360	-23823.9	-23999	175.143	207.657
1368	-23823	-23993	169.928	201.475
1376	-23822.2	-23990.8	168.634	199.94
1384	-23821.7	-23992	170.284	201.897
1392	-23821.6	-23993.6	172.062	204.005
1400	-23821	-23993	171.957	203.88
1408	-23820.6	-23990.1	169.54	201.014
1416	-23820.7	-23986.4	165.729	196.497
1424	-23820	-23982	161.962	192.029
1432	-23819.9	-23978.8	158.985	188.5
1440	-23818.7	-23975.5	156.786	185.893
1448	-23818.1	-23973.5	155.379	184.224
1456	-23817.6	-23972.3	154.68	183.396
1464	-23816	-23970.1	154.161	182.78
1472	-23816.2	-23969.3	153.054	181.468
1480	-23816.4	-23967.2	150.837	178.839
1488	-23816.2	-23964.4	148.151	175.654
1496	-23816.5	-23963.1	146.619	173.838
1504	-23816.6	-23962.5	145.874	172.955
1512	-23817.6	-23961.2	143.655	170.324
1520	-23817.3	-23956.4	139.12	164.947
1528	-23817	-23950.1	133.158	157.879
1536	-23817.6	-23945	127.399	151.05
1544	-23817.6	-23941.7	124.081	147.117
1552	-23818.8	-23943.1	124.343	147.427
1560	-23818.4	-23944.7	126.279	149.723
1568	-23818.1	-23945.1	127.05	150.637
1576	-23818.7	-23944.3	125.665	148.994
1584	-23819.2	-23942.2	123.016	145.854
1592	-23819.1	-23939.6	120.525	142.9
1600	-23819.5	-23938.7	119.126	141.242
1608	-23819.5	-23938.7	119.189	141.316
1616	-23819.8	-23940.2	120.321	142.658
1624	-23820.6	-23941.6	120.978	143.437
1632	-23820.2	-23939.6	119.442	141.616
1640	-23819.9	-23935.1	115.192	136.577
1648	-23820	-23929.2	109.172	129.439
1656	-23820.9	-23924.5	103.63	122.869
1664	-23821.5	-23923.1	101.606	120.469
1672	-23821.6	-23927	105.37	124.931
1680	-23821.9	-23936.2	114.32	135.544
1688	-23821.7	-23946.1	124.474	147.582
1696	-23822.1	-23953.1	131.029	155.354
1704	-23822.5	-23954.2	131.655	156.096
1712	-23823.2	-23950.8	127.622	151.315
1720	-23823.8	-23946.7	122.885	145.698
1728	-23823.9	-23946	122.144	144.82
1736	-23824.5	-23953.1	128.659	152.544
1744	-23825.4	-23966.6	141.234	167.454
1752	-23825.2	-23979.9	154.765	183.497
1760	-23825.6	-23990.9	165.289	195.975
1768	-23826.7	-23997.9	171.259	203.053
1776	-23827.4	-23999.4	171.931	203.849
1784	-23828.1	-23997.1	169.033	200.413
1792	-23828.3	-23994.2	165.876	196.67
1800	-23829.6	-23993.9	164.327	194.834
1808	-23830	-23996.5	166.515	197.428
1816	-23829.9	-24005.9	176.052	208.736
1824	-23830.2	-24016.4	186.191	220.756
1832	-23831.1	-24017.8	186.697	221.357
1840	-23831.4	-24011	179.643	212.993
1848	-23831.6	-24005.1	173.545	205.763
1856	-23832.1	-24003.5	171.482	203.318
1864	-23832.3	-24003.9	171.6	203.456
1872	-23832.9	-24007.2	174.321	206.683
1880	-23833.5	-24013.5	180.013	213.432
1888	-23834.4	-24019.9	185.481	219.915
1896	-23834.9	-24022.4	187.469	222.272
1904	-23835.7	-24021.9	186.153	220.712
1912	-23835.9	-24021.4	185.474	219.907
1920	-23836.1	-24025.9	189.809	225.047
1928	-23836.2	-24034.9	198.714	235.604
1936	-23837.1	-24044.8	207.725	246.288
1944	-23838.2	-24052.2	213.99	253.717
1952	-23838.4	-24054.1	215.783	255.843
1960	-23838.4	-24051.3	212.823	252.333
1968	-23839.2	-24048.6	209.363	248.231
1976	-23839.7	-24050.1	210.418	249.481
1984	-23840.9	-24056.7	215.719	255.767
1992	-23840.7	-24062.3	221.576	262.711
2000	-23772.4	-24066.3	293.837	348.387
2008	-23772.9	-24065.9	293.07	347.477
2016	-23775.1	-24062.7	287.643	341.043
2024	-23776.1	-24055.9	279.815	331.762
2032	-23776.1	-24045	268.902	318.823
2040	-23776.9	-24033.4	256.488	304.104
2048	-23776.1	-24021.9	245.857	291.499
2056	-23775.5	-24012	236.509	280.416
2064	-23774.7	-24000.5	225.797	267.716
2072	-23775.5	-23988.7	213.254	252.844
2080	-23775.5	-23975.1	199.549	236.595
2088	-23775.3	-23961.6	186.285	220.868
2096	-23774.9	-23951.1	176.21	208.922
2104	-23774.3	-23944.4	170.169	201.76
2112	-23774.6	-23940.3	165.763	196.536
2120	-23774.8	-23936.2	161.362	191.319
2128	-23774.5	-23932	157.504	186.744
2136	-23774.7	-23929.9	155.189	183.999
2144	-23773.7	-23931	157.299	186.501
2152	-23772.6	-23939.1	166.478	197.384
2160	-23772.3	-23951.6	179.291	212.576
2168	-23771.9	-23961.2	189.281	224.421
2176	-23771.7	-23966.2	194.572	230.694
2184	-23770.8	-23968.4	197.577	234.257
2192	-23770.3	-23969.3	199.022	235.97
2200	-23769	-23966	197.047	233.629
2208	-23767.5	-23957.7	190.214	225.527
2216	-23766.3	-23948.7	182.365	216.221
2224	-23765.1	-23942.7	177.608	210.58
2232	-23764.8	-23945	180.248	213.711
2240	-23764	-23952.5	188.468	223.456
2248	-23764	-23956.7	192.73	228.51
2256	-23763.5	-23951.7	188.214	223.155
2264	-23763.1	-23943.1	180.055	213.481
2272	-23762.8	-23939	176.238	208.956
2280	-23762.3	-23938.8	176.469	209.23
2288	-23761.5	-23938.4	176.847	209.678
2296	-23761.1	-23938.1	177.05	209.919
2304	-23760.6	-23941.6	181.051	214.662
2312	-23761	-23953.1	192.124	227.792
2320	-23759.8	-23965.5	205.633	243.808
2328	-23760.4	-23975	214.585	254.422
2336	-23760.5	-23978.8	218.342	258.876
2344	-23759.4	-23982	222.571	263.891
2352	-23757.7	-23988.9	231.237	274.166
2360	-23758	-23997.8	239.805	284.324
2368	-23758.5	-24003.3	244.807	290.255
2376	-23758.4	-24006.8	248.373	294.483
2384	-23757.2	-24012	254.724	302.013
2392	-23757.3	-24021.7	264.435	313.527
2400	-23757.1	-24030.8	273.744	324.564
2408	-23756.2	-24035.5	279.285	331.133
2416	-23756.3	-24036.5	280.272	332.303
