loop	totalEnergy	potEnergy	kinEnergy	temperature
0	-18576.7	-18576.7	0.0182547	0.0277838
8	-18576.7	-18581.9	5.17125	7.87066
16	-18575.8	-18594.2	18.4675	28.1076
24	-18574	-18611.4	37.477	57.0401
32	-18572.8	-18632.1	59.292	90.2427
40	-18572.6	-18654	81.3894	123.875
48	-18572.3	-18674.3	102.009	155.258
56	-18571.3	-18691.4	120.084	182.768
64	-18570	-18705	134.98	205.44
72	-18567.8	-18714.2	146.381	222.793
80	-18567.3	-18721.6	154.316	234.869
88	-18565.1	-18724.4	159.273	242.414
96	-18562.5	-18724.5	162.032	246.613
104	-18560.1	-18723.3	163.194	248.381
112	-18558.6	-18721.9	163.272	248.501
120	-18557.1	-18719.7	162.617	247.503
128	-18555.6	-18717.1	161.47	245.757
136	-18554	-18714	160.011	243.538
144	-18552.9	-18711.4	158.533	241.288
152	-18551.6	-18709.1	157.494	239.706
160	-18550.5	-18708	157.472	239.673
168	-18550.3	-18709.2	158.911	241.863
176	-18549.4	-18711.3	161.91	246.427
184	-18548.9	-18715.1	166.23	253.003
192	-18548.8	-18720.2	171.427	260.913
200	-18548.6	-18725.5	176.995	269.387
208	-18546.7	-18729.2	182.501	277.768
216	-18546.8	-18734.5	187.628	285.571
224	-18546.1	-18738.3	192.167	292.479
232	-18545.4	-18741.3	195.919	298.189
240	-18544.9	-18743.5	198.547	302.19
248	-18543.8	-18743.4	199.606	303.801
256	-18543.8	-18742.5	198.66	302.361
264	-18543.2	-18738.7	195.429	297.444
272	-18543	-18733	190.005	289.188
280	-18543.2	-18725.8	182.63	277.963
288	-18542.9	-18716.5	173.636	264.274
296	-18542.8	-18706.2	163.375	248.657
304	-18543	-18695.2	152.231	231.696
312	-18542.7	-18683.3	140.571	213.95
320	-18542.6	-18671.3	128.772	195.991
328	-18542.2	-18659.4	117.119	178.255
336	-18542.2	-18648	105.784	161.004
344	-18542	-18636.9	94.8785	144.405
352	-18542.2	-18626.8	84.5814	128.733
360	-18542.3	-18617.5	75.2128	114.474
368	-18541.8	-18609	67.1699	102.233
376	-18541.6	-18602.4	60.7825	92.5112
384	-18542.1	-18598.3	56.1874	85.5174
392	-18542.3	-18595.5	53.2167	80.996
400	-18541.9	-18593.3	51.4524	78.3108
408	-18541.6	-18592	50.4393	76.7688
416	-18541.4	-18591.3	49.8705	75.9031
424	-18541.5	-18591.2	49.6928	75.6326
432	-18540.9	-18590.9	50.0439	76.1671
440	-18540.5	-18591.6	51.0902	77.7594
448	-18540.2	-18593.1	52.8519	80.4408
456	-18540	-18595	55.0329	83.7603
464	-18539.9	-18596.9	56.9773	86.7197
472	-18539.5	-18597.6	58.0403	88.3376
480	-18538.9	-18597	58.1417	88.4918
488	-18538.5	-18596.8	58.3455	88.802
496	-18538.1	-18598.5	60.327	91.8179
504	-18537.7	-18602.6	64.8953	98.771
512	-18537.4	-18608.7	71.3079	108.531
520	-18537.5	-18615.6	78.1208	118.9
528	-18537.2	-18621.4	84.2273	128.194
536	-18536.9	-18626.2	89.2229	135.798
544	-18536.6	-18629.8	93.2009	141.852
552	-18536.1	-18632.5	96.4685	146.825
560	-18535.7	-18635.1	99.3537	151.217
568	-18535.8	-18638	102.135	155.45
576	-18536	-18640.7	104.728	159.397
584	-18536.1	-18642.5	106.488	162.076
592	-18536.2	-18643.3	107.135	163.059
600	-18536	-18645.8	109.746	167.033
608	-18536.3	-18654.6	118.268	180.004
616	-18536.7	-18666	129.303	196.8
624	-18537.5	-18674.8	137.362	209.066
632	-18538.8	-18679.7	140.9	214.451
640	-18539.3	-18681	141.65	215.592
648	-18540.2	-18682.6	142.395	216.726
656	-18540.9	-18684.3	143.35	218.18
664	-18541.6	-18687.4	145.818	221.936
672	-18543.1	-18694.8	151.674	230.848
680	-18543.5	-18702.7	159.208	242.315
688	-18543.9	-18709.7	165.796	252.341
696	-18544	-18714.3	170.303	259.202
704	-18544.4	-18716.7	172.25	262.165
712	-18545.2	-18717	171.827	261.522
720	-18545.4	-18715.7	170.297	259.193
728	-18546.7	-18715.9	169.142	257.434
736	-18547.2	-18715.9	168.724	256.799
744	-18548.9	-18716.9	168.024	255.734
752	-18550	-18715.9	165.948	252.574
760	-18550.4	-18712.8	162.399	247.171
768	-18551.7	-18709.8	158.044	240.543
