loop	totalEnergy	potEnergy	kinEnergy	temperature
0	-1106.01	-1106.01	0.00164952	0.0412985
8	-1106.01	-1106.46	0.458018	11.4673
16	-1105.59	-1107.14	1.5485	38.7693
24	-1105.43	-1108.29	2.86531	71.738
32	-1105.43	-1109.42	3.99105	99.9228
40	-1105.43	-1110.14	4.71545	118.059
48	-1105.43	-1110.54	5.11678	128.107
56	-1105.35	-1110.76	5.41493	135.572
64	-1105.35	-1111.06	5.71364	143.051
72	-1105.35	-1111.24	5.89104	147.492
80	-1105.35	-1111.13	5.78186	144.759
88	-1105.35	-1110.7	5.35033	133.955
96	-1105.21	-1109.94	4.72256	118.237
104	-1105.07	-1109.17	4.0979	102.598
112	-1105.01	-1108.63	3.62245	90.6942
120	-1104.94	-1108.23	3.28465	82.237
128	-1104.79	-1107.73	2.93578	73.5022
136	-1104.76	-1107.19	2.4331	60.9167
144	-1104.62	-1106.41	1.79766	45.0075
152	-1104.69	-1105.95	1.26006	31.5478
160	-1104.69	-1105.79	1.09964	27.5314
168	-1104.69	-1106.07	1.3741	34.4031
176	-1104.69	-1106.57	1.87326	46.9004
184	-1104.69	-1107.04	2.34851	58.799
192	-1104.69	-1107.39	2.70176	67.6431
200	-1104.73	-1107.71	2.98188	74.6566
208	-1104.73	-1108.01	3.2833	82.2029
216	-1104.73	-1108.4	3.6667	91.802
224	-1104.8	-1108.92	4.12475	103.27
232	-1104.8	-1109.36	4.56089	114.19
240	-1104.95	-1109.79	4.84109	121.205
248	-1104.89	-1109.74	4.85006	121.43
256	-1104.74	-1109.32	4.58677	114.838
264	-1104.74	-1108.93	4.19342	104.99
272	-1104.8	-1108.65	3.8512	96.4213
280	-1104.99	-1108.6	3.6063	90.2898
288	-1104.99	-1108.35	3.36321	84.2037
296	-1104.99	-1108.04	3.05219	76.4168
304	-1105.11	-1107.86	2.74513	68.7291
312	-1105.11	-1107.7	2.58257	64.659
320	-1105.26	-1107.91	2.6519	66.3948
328	-1105.26	-1108.19	2.92286	73.1788
336	-1105.26	-1108.57	3.30234	82.6796
344	-1105.4	-1109.1	3.6949	92.5081
352	-1105.72	-1109.72	4.00071	100.165
360	-1105.66	-1109.8	4.14124	103.683
368	-1105.66	-1109.82	4.16713	104.331
376	-1105.81	-1110.07	4.26066	106.673
384	-1105.87	-1110.39	4.51302	112.991
392	-1105.87	-1110.6	4.72648	118.336
400	-1105.73	-1110.32	4.59158	114.958
