loop	totalEnergy	potEnergy	kinEnergy	temperature
0	-14131.6	-14131.6	0.0147306	0.0294397
8	-14131.6	-14135.8	4.16927	8.33245
16	-14130.7	-14145.6	14.8537	29.6856
24	-14129.1	-14159.2	30.028	60.0121
32	-14128.2	-14175.4	47.2638	94.4585
40	-14128	-14192.5	64.4805	128.867
48	-14127.8	-14208	80.2665	160.416
56	-14126.9	-14220.7	93.7996	187.462
64	-14125.8	-14230.4	104.6	209.047
72	-14124.2	-14236.6	112.425	224.685
80	-14124	-14241.3	117.33	234.488
88	-14122.2	-14242	119.785	239.395
96	-14119.8	-14240.4	120.527	240.877
104	-14118	-14238.2	120.162	240.149
112	-14116.9	-14236.1	119.225	238.276
120	-14115.7	-14233.8	118.122	236.072
128	-14114.6	-14231.8	117.139	234.107
136	-14113.4	-14229.8	116.453	232.736
144	-14112.9	-14229.2	116.265	232.361
152	-14111.5	-14228.4	116.846	233.522
160	-14111.6	-14230.1	118.505	236.838
168	-14111.3	-14232.7	121.389	242.601
176	-14110.8	-14236.1	125.35	250.517
184	-14110.3	-14240.2	129.946	259.702
192	-14110.1	-14244.7	134.585	268.974
200	-14110	-14248.7	138.681	277.159
208	-14109	-14250.8	141.773	283.339
216	-14108.6	-14252.1	143.575	286.939
224	-14107.8	-14251.7	143.973	287.737
232	-14107.1	-14250	142.958	285.707
240	-14106.6	-14247.1	140.485	280.764
248	-14106.1	-14242.6	136.523	272.846
256	-14106.6	-14237.7	131.066	261.94
264	-14106.5	-14230.7	124.232	248.282
272	-14106.4	-14222.8	116.329	232.487
280	-14106.1	-14213.8	107.704	215.251
288	-14106.2	-14204.8	98.633	197.122
296	-14106.2	-14195.6	89.3462	178.562
304	-14105.9	-14186.1	80.16	160.203
312	-14106	-14177.4	71.4338	142.763
320	-14105.9	-14169.4	63.4431	126.794
328	-14105.7	-14162	56.3217	112.561
336	-14105.9	-14156.1	50.1471	100.221
344	-14105.6	-14150.6	44.9499	89.834
352	-14105.6	-14146.5	40.8123	81.565
360	-14105.3	-14143.1	37.8152	75.5752
368	-14105.3	-14141.2	35.9717	71.8908
376	-14105.4	-14140.6	35.2008	70.3503
384	-14105.4	-14140.7	35.3298	70.608
392	-14105.3	-14141.4	36.0746	72.0965
400	-14105.4	-14142.5	37.1281	74.2019
408	-14105.1	-14143.3	38.2618	76.4678
416	-14105	-14144.3	39.3551	78.6528
424	-14104.3	-14144.7	40.3769	80.6948
432	-14103.9	-14145.3	41.3738	82.6872
440	-14103.7	-14146.2	42.5202	84.9783
448	-14103.4	-14147.6	44.2335	88.4025
456	-14103.2	-14150.2	47.0064	93.9441
464	-14103.1	-14154.1	51.0049	101.935
472	-14102.6	-14158.4	55.8036	111.526
480	-14102.3	-14163	60.7233	121.358
488	-14102.6	-14167.9	65.3188	130.542
496	-14103	-14172.6	69.5243	138.947
504	-14102.5	-14175.8	73.2477	146.388
512	-14102.1	-14178.3	76.201	152.291
520	-14102.2	-14180.1	77.8941	155.674
528	-14101.9	-14180	78.0474	155.981
536	-14101.5	-14178.8	77.308	154.503
544	-14101.7	-14179.6	77.8186	155.524
552	-14101.9	-14183.4	81.5004	162.882
560	-14102.6	-14190.4	87.76	175.392
568	-14102.9	-14197.8	94.851	189.563
576	-14103.5	-14205	101.508	202.867
584	-14103.7	-14210.6	106.856	213.556
592	-14104.3	-14214.8	110.441	220.72
600	-14105.6	-14218	112.411	224.659
608	-14106	-14219.8	113.775	227.384
616	-14106.7	-14222.8	116.071	231.973
624	-14107.3	-14227.4	120.065	239.955
632	-14107.9	-14233	125.093	250.004
640	-14108.4	-14237.9	129.493	258.797
648	-14108.5	-14240.3	131.8	263.408
656	-14109.1	-14240.7	131.538	262.883
664	-14109.4	-14238.5	129.099	258.01
672	-14110	-14235.3	125.329	250.476
680	-14110.9	-14232	121.124	242.071
688	-14111.1	-14228.2	117.092	234.012
696	-14112.3	-14225.7	113.397	226.629
704	-14113.5	-14223.6	110.077	219.993
712	-14113.7	-14220.9	107.15	214.143
720	-14114.7	-14219.3	104.623	209.093
728	-14115.2	-14217.7	102.485	204.821
736	-14115.7	-14216.3	100.6	201.053
744	-14116.8	-14215.1	98.2893	196.435
752	-14117.8	-14212.3	94.4884	188.839
760	-14118.5	-14207.8	89.244	178.358
768	-14118.2	-14202.9	84.7003	169.277
776	-14118.8	-14202.1	83.3094	166.497
784	-14119.9	-14205.1	85.2312	170.338
792	-14120.6	-14208.8	88.1687	176.209
800	-14121.2	-14210.2	89.0264	177.923
808	-14121.9	-14208.4	86.5102	172.894
816	-14122.2	-14205.2	82.9973	165.873
824	-14122.4	-14204.6	82.2159	164.312
832	-14122.9	-14207	84.1331	168.143
840	-14122.6	-14207.8	85.2177	170.311
